"POWERCODE","SUBJECT","UNIT","LOCATION","SEX","FREQUENCY","TIME_FORMAT","REFERENCEPERIOD","obsTime","obsValue","OBS_STATUS","UNIT_label","SUBJECT_label","POWERCODE_label"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1956",4776,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1957",4882,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1958",4976,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1959",5080,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1960",5192.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1961",5312.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1962",5399.2,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1963",5499.9,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1964",5605.2,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1965",5714.5,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1966",5841.588,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1967",5939.321,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1968",6043.235,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1969",6170.191,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1970",6291.977,"B","Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1971",6567.936,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1972",6685.153,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1973",6782.848,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1974",6889.668,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1975",6969.181,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1976",7032.034,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1977",7104.702,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1978",7181.293,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1979",7253.762,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1980",7338.06,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1981",7448.267,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","AUS","MA","A","P1Y",NA,"1982",7580.914,NA,"Persons","Population","Thousands"
