"EMPSTAT","COUNTRY","FREQUENCY","TIME_FORMAT","obsTime","obsValue","EMPSTAT_label"
"DE","AUT","A","P1Y","2008",1522,"Dependent employment"
"DE","FIN","A","P1Y","1990",1666,"Dependent employment"
"DE","BEL","A","P1Y","2002",1447,"Dependent employment"
"DE","AUT","A","P1Y","2006",1504,"Dependent employment"
"DE","AUT","A","P1Y","2007",1526,"Dependent employment"
"DE","BEL","A","P1Y","2003",1448,"Dependent employment"
"DE","DEU","A","P1Y","2015",1301,"Dependent employment"
"DE","FIN","A","P1Y","1991",1653,"Dependent employment"
"DE","DEU","A","P1Y","2012",1301,"Dependent employment"
"DE","AUT","A","P1Y","2011",1462,"Dependent employment"
"DE","HUN","A","P1Y","2006",1799,"Dependent employment"
"DE","AUT","A","P1Y","2010",1470,"Dependent employment"
"DE","HUN","A","P1Y","2005",1803,"Dependent employment"
"DE","HUN","A","P1Y","2002",1766,"Dependent employment"
"DE","FIN","A","P1Y","1989",1702,"Dependent employment"
"DE","HUN","A","P1Y","2004",1807,"Dependent employment"
"DE","AUT","A","P1Y","2000",1509,"Dependent employment"
"DE","BEL","A","P1Y","2000",1459,"Dependent employment"
"DE","BEL","A","P1Y","2001",1455,"Dependent employment"
"DE","DEU","A","P1Y","2014",1300,"Dependent employment"
"DE","CZE","A","P1Y","2010",1883,"Dependent employment"
"DE","FIN","A","P1Y","1992",1665,"Dependent employment"
"DE","AUT","A","P1Y","1999",1501,"Dependent employment"
"DE","BEL","A","P1Y","2013",1429,"Dependent employment"
"DE","AUT","A","P1Y","2009",1491,"Dependent employment"
"DE","FIN","A","P1Y","1988",1720,"Dependent employment"
"DE","FIN","A","P1Y","1997",1687,"Dependent employment"
"DE","BEL","A","P1Y","1999",1447,"Dependent employment"
"DE","AUT","A","P1Y","2005",1516,"Dependent employment"
"DE","HUN","A","P1Y","2003",1777,"Dependent employment"
"DE","BEL","A","P1Y","2011",1430,"Dependent employment"
"DE","CZE","A","P1Y","2011",1864,"Dependent employment"
"DE","DEU","A","P1Y","2013",1291,"Dependent employment"
"DE","DEU","A","P1Y","2016",1298,"Dependent employment"
"DE","CZE","A","P1Y","2016",1833,"Dependent employment"
"DE","FIN","A","P1Y","1993",1627,"Dependent employment"
"DE","CZE","A","P1Y","2012",1847,"Dependent employment"
"DE","AUT","A","P1Y","2004",1548,"Dependent employment"
"DE","FIN","A","P1Y","1987",1701,"Dependent employment"
"DE","AUT","A","P1Y","2003",1514,"Dependent employment"
"DE","AUT","A","P1Y","2013",1445,"Dependent employment"
"DE","AUT","A","P1Y","2014",1440,"Dependent employment"
"DE","BEL","A","P1Y","2010",1420,"Dependent employment"
"DE","DEU","A","P1Y","2000",1360,"Dependent employment"
"DE","PRT","A","P1Y","1988",1812,"Dependent employment"
"DE","PRT","A","P1Y","1989",1831,"Dependent employment"
"DE","DNK","A","P1Y","1988",1410,"Dependent employment"
"DE","DNK","A","P1Y","1989",1393,"Dependent employment"
"DE","CAN","A","P1Y","1973",1858,"Dependent employment"
"DE","FIN","A","P1Y","1994",1670,"Dependent employment"
"DE","FIN","A","P1Y","1995",1672,"Dependent employment"
"DE","MEX","A","P1Y","2011",2328,"Dependent employment"
"DE","FIN","A","P1Y","1996",1690,"Dependent employment"
"DE","BEL","A","P1Y","1998",1444,"Dependent employment"
"DE","CAN","A","P1Y","1976",1818,"Dependent employment"
"DE","CZE","A","P1Y","2009",1879,"Dependent employment"
"DE","DNK","A","P1Y","1985",1455,"Dependent employment"
"DE","FRA","A","P1Y","1955",1901,"Dependent employment"
"DE","BEL","A","P1Y","2012",1431,"Dependent employment"
"DE","CZE","A","P1Y","1993",1995,"Dependent employment"
"DE","BEL","A","P1Y","2014",1426,"Dependent employment"
"DE","DNK","A","P1Y","1990",1381,"Dependent employment"
"DE","CAN","A","P1Y","1974",1848,"Dependent employment"
"DE","AUT","A","P1Y","2001",1522,"Dependent employment"
"DE","AUT","A","P1Y","2012",1457,"Dependent employment"
"DE","FIN","A","P1Y","1986",1683,"Dependent employment"
"DE","BEL","A","P1Y","2008",1443,"Dependent employment"
"DE","BEL","A","P1Y","2009",1421,"Dependent employment"
"DE","DNK","A","P1Y","1984",1466,"Dependent employment"
"DE","MEX","A","P1Y","2012",2325,"Dependent employment"
"DE","CZE","A","P1Y","2007",1914,"Dependent employment"
"DE","DEU","A","P1Y","2001",1353,"Dependent employment"
"DE","DEU","A","P1Y","2002",1345,"Dependent employment"
"DE","DEU","A","P1Y","2003",1339,"Dependent employment"
"DE","CZE","A","P1Y","2015",1811,"Dependent employment"
"DE","DNK","A","P1Y","1991",1375,"Dependent employment"
"DE","DNK","A","P1Y","1992",1393,"Dependent employment"
"DE","AUT","A","P1Y","2002",1495,"Dependent employment"
"DE","DNK","A","P1Y","1994",1356,"Dependent employment"
"DE","DEU","A","P1Y","2011",1315,"Dependent employment"
"DE","FRA","A","P1Y","1981",1645,"Dependent employment"
"DE","SVK","A","P1Y","2014",1729,"Dependent employment"
"DE","CZE","A","P1Y","2008",1923,"Dependent employment"
"DE","PRT","A","P1Y","1987",1797,"Dependent employment"
"DE","ISL","A","P1Y","1995",1968,"Dependent employment"
"DE","DNK","A","P1Y","1986",1460,"Dependent employment"
"DE","PRT","A","P1Y","1990",1830,"Dependent employment"
"DE","PRT","A","P1Y","1991",1795,"Dependent employment"
"DE","DEU","A","P1Y","2006",1344,"Dependent employment"
"DE","DEU","A","P1Y","2007",1346,"Dependent employment"
"DE","DNK","A","P1Y","1993",1392,"Dependent employment"
"DE","FIN","A","P1Y","1985",1712,"Dependent employment"
"DE","BEL","A","P1Y","2007",1448,"Dependent employment"
"DE","SVK","A","P1Y","2013",1736,"Dependent employment"
"DE","BEL","A","P1Y","1997",1449,"Dependent employment"
"DE","PRT","A","P1Y","1986",1794,"Dependent employment"
"DE","HUN","A","P1Y","2014",1809,"Dependent employment"
"DE","FIN","A","P1Y","1998",1672,"Dependent employment"
"DE","FIN","A","P1Y","1999",1673,"Dependent employment"
"DE","AUT","A","P1Y","2015",1429,"Dependent employment"
"DE","CZE","A","P1Y","1994",1974,"Dependent employment"
"DE","HUN","A","P1Y","2007",1778,"Dependent employment"
"DE","HUN","A","P1Y","2008",1786,"Dependent employment"
"DE","CAN","A","P1Y","1975",1830,"Dependent employment"
"DE","HUN","A","P1Y","2010",1818,"Dependent employment"
"DE","DEU","A","P1Y","2010",1310,"Dependent employment"
"DE","FIN","A","P1Y","1984",1716,"Dependent employment"
"DE","HUN","A","P1Y","2012",1797,"Dependent employment"
"DE","HUN","A","P1Y","2013",1803,"Dependent employment"
"DE","CAN","A","P1Y","1962",1982,"Dependent employment"
"DE","CAN","A","P1Y","1963",1968,"Dependent employment"
"DE","CAN","A","P1Y","1965",1958,"Dependent employment"
"DE","CAN","A","P1Y","1966",1942,"Dependent employment"
"DE","CAN","A","P1Y","1967",1936,"Dependent employment"
"DE","CZE","A","P1Y","2013",1825,"Dependent employment"
"DE","CZE","A","P1Y","2014",1826,"Dependent employment"
"DE","HUN","A","P1Y","2009",1766,"Dependent employment"
"DE","DEU","A","P1Y","2008",1340,"Dependent employment"
"DE","HUN","A","P1Y","2011",1816,"Dependent employment"
"DE","MEX","A","P1Y","2010",2337,"Dependent employment"
"DE","FRA","A","P1Y","1980",1661,"Dependent employment"
"DE","KOR","A","P1Y","2016",2052,"Dependent employment"
"DE","ISL","A","P1Y","1993",1983,"Dependent employment"
"DE","ISL","A","P1Y","1994",1966,"Dependent employment"
"DE","HUN","A","P1Y","2001",1766,"Dependent employment"
"DE","NLD","A","P1Y","1970",1762,"Dependent employment"
"DE","DNK","A","P1Y","1987",1428,"Dependent employment"
"DE","ISL","A","P1Y","1998",1952,"Dependent employment"
"DE","ISL","A","P1Y","1999",2006,"Dependent employment"
"DE","AUT","A","P1Y","1995",1455,"Dependent employment"
"DE","BEL","A","P1Y","2004",1449,"Dependent employment"
"DE","DEU","A","P1Y","2009",1289,"Dependent employment"
"DE","AUT","A","P1Y","1998",1480,"Dependent employment"
"DE","PRT","A","P1Y","1996",1755,"Dependent employment"
"DE","GRC","A","P1Y","2000",1818,"Dependent employment"
"DE","GRC","A","P1Y","2001",1826,"Dependent employment"
"DE","DNK","A","P1Y","1995",1366,"Dependent employment"
"DE","DNK","A","P1Y","1996",1357,"Dependent employment"
"DE","DNK","A","P1Y","1997",1375,"Dependent employment"
"DE","DNK","A","P1Y","1998",1394,"Dependent employment"
"DE","DNK","A","P1Y","1999",1402,"Dependent employment"
"DE","CZE","A","P1Y","1995",1987,"Dependent employment"
"DE","ISL","A","P1Y","2000",2017,"Dependent employment"
"DE","CZE","A","P1Y","1999",2014,"Dependent employment"
"DE","BEL","A","P1Y","2005",1444,"Dependent employment"
"DE","BEL","A","P1Y","2006",1445,"Dependent employment"
"DE","CZE","A","P1Y","2000",2018,"Dependent employment"
"DE","CZE","A","P1Y","2001",1922,"Dependent employment"
"DE","CAN","A","P1Y","1961",1976,"Dependent employment"
"DE","CZE","A","P1Y","2003",1882,"Dependent employment"
"DE","CZE","A","P1Y","2004",1900,"Dependent employment"
"DE","CAN","A","P1Y","1964",1966,"Dependent employment"
"DE","DEU","A","P1Y","1999",1384,"Dependent employment"
"DE","KOR","A","P1Y","2008",2120,"Dependent employment"
"DE","CAN","A","P1Y","1968",1906,"Dependent employment"
"DE","DEU","A","P1Y","2004",1335,"Dependent employment"
"DE","DEU","A","P1Y","2005",1324,"Dependent employment"
"DE","AUT","A","P1Y","1996",1458,"Dependent employment"
"DE","AUT","A","P1Y","1997",1472,"Dependent employment"
"DE","FRA","A","P1Y","1979",1666,"Dependent employment"
"DE","BEL","A","P1Y","1996",1442,"Dependent employment"
"DE","ISL","A","P1Y","1992",1996,"Dependent employment"
"DE","HUN","A","P1Y","1999",1795,"Dependent employment"
"DE","HUN","A","P1Y","2000",1795,"Dependent employment"
"DE","DNK","A","P1Y","1983",1469,"Dependent employment"
"DE","GRC","A","P1Y","1991",1775,"Dependent employment"
"DE","NLD","A","P1Y","1971",1726,"Dependent employment"
"DE","NLD","A","P1Y","1972",1725,"Dependent employment"
"DE","NLD","A","P1Y","1973",1698,"Dependent employment"
"DE","PRT","A","P1Y","1992",1726,"Dependent employment"
"DE","PRT","A","P1Y","1993",1733,"Dependent employment"
"DE","PRT","A","P1Y","1994",1751,"Dependent employment"
"DE","PRT","A","P1Y","1995",1778,"Dependent employment"
"DE","GRC","A","P1Y","1999",1811,"Dependent employment"
"DE","SVK","A","P1Y","2012",1742,"Dependent employment"
"DE","FRA","A","P1Y","1951",1916,"Dependent employment"
"DE","FRA","A","P1Y","1952",1896,"Dependent employment"
"DE","FRA","A","P1Y","1953",1882,"Dependent employment"
