"AGE","LOCATION","MEASURE","DEFINITION","METHODO","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue","OBS_STATUS","AGE_label"
"OLD","BEL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2007",0.234,NA,"Retirement age population: above 65"
"OLD","BEL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2008",0.237,NA,"Retirement age population: above 65"
"OLD","BEL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2009",0.26,NA,"Retirement age population: above 65"
"OLD","BEL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2011",0.24,NA,"Retirement age population: above 65"
"OLD","BEL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2012",0.228,NA,"Retirement age population: above 65"
"OLD","BEL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2013",0.226,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1986",0.294,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1987",0.277,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1992",0.258,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1993",0.263,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1994",0.252,NA,"Retirement age population: above 65"
"OLD","BEL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2010",0.227,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1996",0.265,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1997",0.26,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1998",0.261,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1999",0.257,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2000",0.259,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2001",0.265,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2002",0.269,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2003",0.262,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2004",0.267,NA,"Retirement age population: above 65"
"OLD","BEL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2005",0.24,NA,"Retirement age population: above 65"
"OLD","BEL","GINI","CURRENT","METH2011","P1Y","0_TO_1","0","2006",0.251,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2008",0.259,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1995",0.265,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2010",0.235,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2011",0.243,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2012",0.252,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2013",0.251,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2014",0.244,NA,"Retirement age population: above 65"
"OLD","FIN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","2015",0.241,NA,"Retirement age population: above 65"
"OLD","CAN","GINI","CURRENT","METH2012","P1Y","0_TO_1","0","1988",0.276,NA,"Retirement age population: above 65"
