"TRAFFIC_PARTICIPATION","AGE_GROUP","INJURY_TYPE","COUNTRY","UNIT","DATA_TYPE","TIME_FORMAT","obsTime","obsValue","OBS_STATUS","INJURY_TYPE_label","AGE_GROUP_label","TRAFFIC_PARTICIPATION_label"
"1010","110","740","IRL","NUMBER","CORRECTED","P1Y","2013",188,NA,"Killed","Total","Total"
"1010","140","740","GRC","NUMBER","CORRECTED","P1Y","2008",11,NA,"Killed","10-14 Years","Total"
"1010","130","740","GB-IRTAD","NUMBER","CORRECTED","P1Y","2009",12,"f","Killed","06-09 Years","Total"
"1010","140","740","GRC","NUMBER","CORRECTED","P1Y","2011",10,NA,"Killed","10-14 Years","Total"
"1010","120","740","SVN","NUMBER","CORRECTED","P1Y","2007",2,"f","Killed","00-05 Years","Total"
"1010","150","740","FIN","NUMBER","CORRECTED","P1Y","2014",12,NA,"Killed","15-17 Years","Total"
"1010","130","740","ESP","NUMBER","CORRECTED","P1Y","2011",4,NA,"Killed","06-09 Years","Total"
"1010","120","740","IRL","NUMBER","CORRECTED","P1Y","2007",8,NA,"Killed","00-05 Years","Total"
"1010","230","740","KOR","NUMBER","CORRECTED","P1Y","2007",292,NA,"Killed","21-24 Years","Total"
"1010","230","740","KOR","NUMBER","CORRECTED","P1Y","2008",274,NA,"Killed","21-24 Years","Total"
"1010","370","740","FRA","NUMBER","CORRECTED","P1Y","2008",0,NA,"Killed","Unknown Age","Total"
"1010","240","740","JPN","NUMBER","CORRECTED","P1Y","2009",2114,NA,"Killed","25-64 Years","Total"
"1010","140","740","ITA","NUMBER","CORRECTED","P1Y","2007",56,NA,"Killed","10-14 Years","Total"
"1010","140","740","ITA","NUMBER","CORRECTED","P1Y","2008",43,NA,"Killed","10-14 Years","Total"
"1010","230","740","ARG","NUMBER","CORRECTED","P1Y","2013",523,"f","Killed","21-24 Years","Total"
"1010","140","740","ITA","NUMBER","CORRECTED","P1Y","2010",29,NA,"Killed","10-14 Years","Total"
"1010","140","740","ITA","NUMBER","CORRECTED","P1Y","2011",26,NA,"Killed","10-14 Years","Total"
"1010","140","740","ITA","NUMBER","CORRECTED","P1Y","2012",25,NA,"Killed","10-14 Years","Total"
"1010","230","740","BEL","NUMBER","CORRECTED","P1Y","2012",78,NA,"Killed","21-24 Years","Total"
"1010","310","740","LTU","NUMBER","CORRECTED","P1Y","2009",65,"f","Killed","65 Years and more","Total"
"1010","120","740","CHL","NUMBER","CORRECTED","P1Y","2014",56,NA,"Killed","00-05 Years","Total"
