"VARIABLE","UNIT","COUNTRY","MEASURE","TIME_FORMAT","POWERCODE","obsTime","obsValue","UNIT_label","VARIABLE_label","label.y"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2006",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","DEU","EUR","P1Y","0","2005",7e+08,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2003",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2004",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","1999",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","DEU","EUR","P1Y","0","2006",7.2e+08,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2002",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","FRA","EUR","P1Y","0","2015",19300030147,"E","Euro","Airport infrastructure capital value"
"I-CPV-AIR","NOK","NOR","NAT","P1Y","0","2005",NA,"M","Norwegian Krone","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2007",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","DEU","EUR","P1Y","0","2007",1.62e+09,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2000",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2010",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2010",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2005",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2005",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2009",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","NOK","NOR","NAT","P1Y","0","1999",NA,"M","Norwegian Krone","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2002",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","NOK","NOR","NAT","P1Y","0","2004",NA,"M","Norwegian Krone","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2003",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2004",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2006",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2009",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LTU","NAT","P1Y","0","2015",1.9e+07,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","DEU","EUR","P1Y","0","2004",5.4e+08,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2007",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","DEU","EUR","P1Y","0","2001",1229657020,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2014",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","1996",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","1997",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","1998",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2001",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","USA","EUR_CONST","P1Y","0","2013",161589001983,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2011",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR_CONST","P1Y","0","2007",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR_CONST","P1Y","0","2008",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR_CONST","P1Y","0","2009",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR_CONST","P1Y","0","2010",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","NOK","NOR","NAT","P1Y","0","1995",NA,"M","Norwegian Krone","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2008",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","NOK","NOR","NAT","P1Y","0","1997",NA,"M","Norwegian Krone","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR_CONST","P1Y","0","2014",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2011",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2012",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2001",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","DEU","EUR_CONST","P1Y","0","2003",1223208487,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR_CONST","P1Y","0","2005",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2012",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2013",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","2014",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","DEU","EUR","P1Y","0","2013",1.28e+09,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2008",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","NOK","NOR","NAT","P1Y","0","1996",NA,"M","Norwegian Krone","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR_CONST","P1Y","0","2013",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","USA","EUR","P1Y","0","2014",187504704554,NA,"Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","NAT","P1Y","0","1995",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","1999",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2000",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","LVA","EUR","P1Y","0","2013",NA,"M","Euro","Airport infrastructure capital value"
"I-CPV-AIR","EUR","DEU","EUR","P1Y","0","2008",1.14e+09,NA,"Euro","Airport infrastructure capital value"
