"VARIABLE","UNIT","COUNTRY","TIME_FORMAT","POWERCODE","obsTime","obsValue","OBS_STATUS","UNIT_label","VARIABLE_label"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1990",90323,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1991",82691,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1992",69357,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1993",47142,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1994",39952,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1995",34789,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1996",33760,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1997",26676,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1998",25849,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","1999",26350,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2000",28917,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2001",30423,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2002",35385,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2003",39495,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2004",46841,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2005",51820,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2006",53343,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2007",55446,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2008",60671,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2009",54631,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2010",51463,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2011",50881,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","UKR","P1Y","6","2012",49704,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DNK","P1Y","6","2006",7054,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DNK","P1Y","6","2007",6857,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DNK","P1Y","6","2008",6782,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DNK","P1Y","6","2009",6781,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DNK","P1Y","6","2010",6853,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DNK","P1Y","6","2011",6853,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DNK","P1Y","6","2012",6849,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","DNK","P1Y","6","2013",6697,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1970",2642,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1971",2819,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1972",3163,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1973",3311,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1974",3576,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1975",3957,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1976",4196,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","1995",31000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","1996",30800,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","1997",30600,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","1998",30400,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","1999",30200,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2000",30000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2001",23000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2002",23000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2003",22000,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2004",20368,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2005",18736,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2006",17103,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2007",15471,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","CAN","P1Y","6","2008",15471,"E","Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1991",5554,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1992",4170,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1993",3894,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1994",4053,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1995",4113,"B","Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1996",4301,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1997",4379,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1998",3876,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","1999",4138,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2000",3502,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2001",3393,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2002",3339,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
"T-PASS-RD-BUS","PKM","SVN","P1Y","6","2003",3446,NA,"Passenger-kilometres","Road passenger transport by buses and coaches"
