"VARIABLE","UNIT","COUNTRY","TIME_FORMAT","POWERCODE","obsTime","obsValue","OBS_STATUS","UNIT_label","VARIABLE_label"
"T-ACCI-CAS","PER","MEX","P1Y","0","2016",14534,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1970",26656,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","MEX","P1Y","0","2014",21182,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2007",16330,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2008",12623,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1974",19477,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2004",18997,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1976",20456,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","MEX","P1Y","0","2015",18960,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1978",20366,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1979",17217,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1980",15751,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1981",14311,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1982",14100,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2003",16945,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1984",14383,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2005",14572,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1986",14121,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2010",10454,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","MEX","P1Y","0","2013",24542,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1989",12315,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1990",11287,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1991",10871,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1992",11091,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1993",10489,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1994",10303,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1995",10573,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","1996",10324,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2015",396891,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2016",399872,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2009",12285,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","MEX","P1Y","0","2012",29275,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","2001",8896,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2011",396374,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","2003",8844,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","2004",7915,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","2005",6919,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DNK","P1Y","0","2006",6821,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1970",17083,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1971",17169,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2002",14198,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1973",16945,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LVA","P1Y","0","1978",4683,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2006",16337,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1976",12510,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1977",12018,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1978",9311,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1979",9412,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1980",8993,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1981",9627,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1982",9686,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1983",9977,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1984",9739,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2012",9278,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2014",392912,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1977",523120,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","HUN","P1Y","0","1979",27198,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","HUN","P1Y","0","1980",25457,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","HUN","P1Y","0","1981",24860,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","HUN","P1Y","0","1982",24264,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1996",501916,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1997",509643,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","MEX","P1Y","0","2011",30451,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SWE","P1Y","0","1971",23085,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1996",9703,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","1997",9395,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2001",12951,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LVA","P1Y","0","1986",4559,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2013",8867,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","2001",8844,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","HUN","P1Y","0","1994",28523,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","HUN","P1Y","0","1995",27475,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","2004",9166,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2010",374818,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","2006",8916,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","PRT","P1Y","0","1970",30266,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","PRT","P1Y","0","1971",32856,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","PRT","P1Y","0","1972",36050,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2011",9814,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","2011",8223,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","2012",7343,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1976",495401,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2014",8328,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","FIN","P1Y","0","2015",6678,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1978",523306,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","AZE","P1Y","0","2013",4112,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LTU","P1Y","0","1978",5580,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LTU","P1Y","0","1979",4898,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","MEX","P1Y","0","2010",33649,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","AZE","P1Y","0","2016",2762,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","PRT","P1Y","0","1987",56813,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","PRT","P1Y","0","1988",62066,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LTU","P1Y","0","1984",5282,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","2000",11887,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1988",456436,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LTU","P1Y","0","1987",5313,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LTU","P1Y","0","1988",6050,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1991",516835,"B","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1992",527428,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LTU","P1Y","0","1991",7731,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LTU","P1Y","0","1992",5030,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LTU","P1Y","0","1993",5448,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1998",505111,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LTU","P1Y","0","1995",5180,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LVA","P1Y","0","1983",4582,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LVA","P1Y","0","1984",4612,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1987",432589,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2003",468783,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1972",2352,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","1976",11210,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2006",427428,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2007",436368,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1976",2135,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2008",413524,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2009",401823,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1979",1986,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1999",528899,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1981",2012,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1982",1916,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2002",483255,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1984",1996,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","JPN","P1Y","0","1974",662852,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1986",1949,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1987",1991,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1988",2218,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1989",2595,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1990",2815,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1991",2666,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1992",1576,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1993",1823,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2000",511577,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2001",501752,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1996",1760,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1997",2114,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","1998",2274,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1989",457392,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2000",2047,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2001",2642,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2002",3091,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1993",515540,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1994",526229,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1995",521595,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2006",3712,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2007",3467,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2008",2530,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2009",2031,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2010",1799,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2011",1980,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2012",1794,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2013",1814,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2014",1822,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2015",1822,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","EST","P1Y","0","2016",1898,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","1994",956,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","1995",639,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","1996",515,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","1997",585,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","1998",647,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","1999",657,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","2000",620,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1975",472667,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","CAN","P1Y","0","1995",241771,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","2003",510,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","CAN","P1Y","0","1996",230412,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","CAN","P1Y","0","1997",220477,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","2006",1342,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ALB","P1Y","0","2007",1728,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","BGR","P1Y","0","2008",11013,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","BGR","P1Y","0","2009",9575,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","BGR","P1Y","0","2010",8854,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","BGR","P1Y","0","2011",8958,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","BGR","P1Y","0","2012",8794,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","BGR","P1Y","0","2013",9376,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","BGR","P1Y","0","2014",9299,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","BGR","P1Y","0","2015",9679,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","BGR","P1Y","0","2016",10082,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","CAN","P1Y","0","2007",195498,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1990",456064,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","1975",11376,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LUX","P1Y","0","1971",2469,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LUX","P1Y","0","1972",2736,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LUX","P1Y","0","1973",2952,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LUX","P1Y","0","1974",2892,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","LUX","P1Y","0","1975",2883,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1976",547,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1977",536,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1978",709,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1979",588,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2004",445968,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2005",438804,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1982",744,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1983",613,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1984",762,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1985",889,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1986",768,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","1987",955,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","JPN","P1Y","0","1970",997861,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2012",387978,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","2013",377481,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1974",461756,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","1999",9314,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","USA","P1Y","0","1991",3139000,"E","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","CAN","P1Y","0","1994",245129,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","PRT","P1Y","0","1978",38130,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","PRT","P1Y","0","1979",40023,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","USA","P1Y","0","1995",3507000,"E","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","USA","P1Y","0","1996",3525000,"E","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1979",499663,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1981",487618,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1982",478796,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1983",500942,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1984",476232,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1985",430495,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","DEU","P1Y","0","1986",452165,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","USA","P1Y","0","2004",2831000,"E","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","USA","P1Y","0","2005",2742000,"E","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","USA","P1Y","0","2006",2575000,"E","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","USA","P1Y","0","2007",2532000,"E","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","USA","P1Y","0","2008",2383000,"E","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","USA","P1Y","0","2013",2346000,"E","Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","1977",12527,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","SVN","P1Y","0","1978",11346,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","2014",1172,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ITA","P1Y","0","2016",252458,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","ISL","P1Y","0","2016",1429,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","GRC","P1Y","0","1973",25266,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","GRC","P1Y","0","1974",22546,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","GRC","P1Y","0","1975",23301,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","GRC","P1Y","0","1976",23236,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","GRC","P1Y","0","1977",24593,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","GRC","P1Y","0","1978",25332,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","GRC","P1Y","0","1979",27150,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","GRC","P1Y","0","1980",26668,NA,"Persons","Road casualties (injured + killed)"
"T-ACCI-CAS","PER","GRC","P1Y","0","1981",29061,NA,"Persons","Road casualties (injured + killed)"
